Nomor #,Tanggal,Keterangan,Kode Barang,Nama Barang,Kuantitas,Catatan,Stok Akhir,Nama Departemen,Nama Proyek,No. Lambung,Tipe Penyesuaian,Biaya Satuan,Total Biaya,Nama Gudang
IA.2024.10.05861,2024-10-15,"PEMAKAIAN MD026 SHIFT 2 PIT A9
HM: 13611.8",114471,PERSEDIAAN HSD/SOLAR,269,,6278,A9_P_HE_FUEL,PINANG,MD026 - KOMATSU D85ESS - BBE,Pengurangan,10711.864657,2881491.592733,BBE
IA.2024.10.05862,2024-10-15,"PEMAKAIAN MD027 SHIFT 2 PIT A9
HM: 13180.7",114471,PERSEDIAAN HSD/SOLAR,299,,5979,A9_P_HE_FUEL,PINANG,MD027 - KOMATSU D85ESS - BBE,Pengurangan,10711.864657,3202847.532443,BBE
IA.2024.10.05863,2024-10-15,"PEMAKAIAN MD028 SHIFT 2 PIT A9
HM: 12562",114471,PERSEDIAAN HSD/SOLAR,220,,5759,A9_P_HE_FUEL,PINANG,MD028 - KOMATSU D85ESS - BBE,Pengurangan,10711.864657,2356610.22454,BBE
IA.2024.10.05864,2024-10-15,"PEMAKAIAN MD029 SHIFT 2 PIT A9
HM: 12374",114471,PERSEDIAAN HSD/SOLAR,548,,5211,A9_P_HE_FUEL,PINANG,MD029 - KOMATSU 375A - BBE,Pengurangan,10711.864657,5870101.832036,BBE
IA.2024.10.05865,2024-10-15,"PEMAKAIAN MD030 SHIFT 2 PIT A9
HM: 9647",114471,PERSEDIAAN HSD/SOLAR,327,,4884,A9_P_HE_FUEL,PINANG,MD030 - KOMATSU D85ESS - BBE,Pengurangan,10711.864657,3502779.742839,BBE
IA.2024.10.05866,2024-10-15,"PEMAKAIAN MD032 SHIFT 2 PIT A9
HM: 9033",114471,PERSEDIAAN HSD/SOLAR,222,,4662,A9_P_HE_FUEL,PINANG,MD032 - KOMATSU D85ESS - BBE,Pengurangan,10711.864657,2378033.953854,BBE
IA.2024.10.05867,2024-10-15,"PEMAKAIAN MD036 SHIFT 2 PIT A9
HM: 7239",114471,PERSEDIAAN HSD/SOLAR,268,,4394,A9_P_HE_FUEL,PINANG,MD036 - KOMATSU D85ESS - BBE,Pengurangan,10711.864657,2870779.728076,BBE
IA.2024.10.05868,2024-10-15,"PEMAKAIAN MD037 SHIFT 2 PIT A9
HM: 7966",114471,PERSEDIAAN HSD/SOLAR,321,,4073,A9_P_HE_FUEL,PINANG,MD037 - KOMATSU D85ESS - BBE,Pengurangan,10711.864657,3438508.554897,BBE
IA.2024.10.05870,2024-10-15,"PEMAKAIAN MD038 SHIFT 2 PIT A9
HM: 7262.3",114471,PERSEDIAAN HSD/SOLAR,283,,3790,A9_P_HE_FUEL,PINANG,MD038 - KOMATSU D85ESS - BBE,Pengurangan,10711.864657,3031457.697931,BBE
IA.2024.10.05871,2024-10-15,"PEMAKAIAN MD040 SHIFT 2 PIT A9
HM: 6562.8",114471,PERSEDIAAN HSD/SOLAR,214,,3576,A9_P_HE_FUEL,PINANG,MD040 - KOMATSU D85ESS - BBE,Pengurangan,10711.864657,2292339.036598,BBE
IA.2024.10.05872,2024-10-15,"PEMAKAIAN MG015 SHIFT 2 PIT A9
HM: 6474.8",114471,PERSEDIAAN HSD/SOLAR,175,,3401,A9_P_HE_FUEL,PINANG,MG015 - SEM 922 AWD - BBE,Pengurangan,10711.864657,1874576.314975,BBE
IA.2024.10.05873,2024-10-15,"PEMAKAIAN MG017 SHIFT 2 PIT A9
HM: 7065",114471,PERSEDIAAN HSD/SOLAR,118,,3283,A9_P_HE_FUEL,PINANG,MG017 - SEM 922 AWD - BBE,Pengurangan,10711.864657,1264000.029526,BBE
IA.2024.10.05874,2024-10-15,"PEMAKAIAN MG020 SHIFT 2 PIT A9
HM: 7062",114471,PERSEDIAAN HSD/SOLAR,287,,2996,A9_P_HE_FUEL,PINANG,MG020 - CAT 14 - BBE,Pengurangan,10711.864657,3074305.156559,BBE
